                        , received , sent     , total    ,ci
" retries=6,timeout=0.2  ",66.34667,2.18667,68.53333,0.05645
" retries=6,timeout=0.4  ",65.22667,2.2,67.42667,0.08432
" retries=6,timeout=0.6  ",65.12,2.77333,67.89333,0.55734
" retries=6,timeout=0.8  ",63.94667,2.2,66.14667,0.0875
" retries=6,timeout=1    ",61.98667,2.2,64.18667,0.12629
" retries=7,timeout=0.2  ",66.33333,2.18667,68.52,0.06153
" retries=7,timeout=0.4  ",65.32,2.2,67.52,0.09042
" retries=7,timeout=0.6  ",64.96,2.77333,67.73333,0.56351
" retries=7,timeout=0.8  ",64.12,2.2,66.32,0.09202
" retries=7,timeout=1    ",61.65333,2.2,63.85333,0.14566
" retries=8,timeout=0.2  ",66.33333,2.18667,68.52,0.05992
" retries=8,timeout=0.4  ",65.34667,2.2,67.54667,0.0929
" retries=8,timeout=0.6  ",65.08,2.77333,67.85333,0.55923
" retries=8,timeout=0.8  ",64,2.2,66.2,0.07457
" retries=8,timeout=1    ",61.82667,2.2,64.02667,0.13574
" retries=9,timeout=0.2  ",66.28,2.18667,68.46667,0.06748
" retries=9,timeout=0.4  ",65.4,2.2,67.6,0.08145
" retries=9,timeout=0.6  ",64.85333,2.77333,67.62667,0.56844
" retries=9,timeout=0.8  ",63.93333,2.2,66.13333,0.10623
" retries=9,timeout=1    ",61.70667,2.2,63.90667,0.14512
" retries=10,timeout=0.2 ",66.36,2.18667,68.54667,0.06361
" retries=10,timeout=0.4 ",65.32,2.2,67.52,0.09149
" retries=10,timeout=0.6 ",64.98667,2.77333,67.76,0.56251
" retries=10,timeout=0.8 ",64.08,2.2,66.28,0.09255
" retries=10,timeout=1   ",61.82667,2.2,64.02667,0.13574
